Name,Position Title,Agency Name,Agency Website,Nomination Date,Renomination,Confirmation Vote,Confirmed,Holdover
"Sorokin, Leo T.",United States District Judge for the District of Massachusetts,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,06-10-14,1,
"Chutkan, Tanya S.",United States District Judge for the District of Columbia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,06-04-14,1,
"Hendricks, Bruce Howe",United States District Judge for the District of South Carolina,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,06-04-14,1,
"Mastroianni, Mark G.",United States District Judge for the District of Massachusetts,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,06-04-14,1,
"Barron, David Jeremiah",United States Circuit Judge for the First Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/22/2014,1,
"Daly, Deirdre M.",United States Attorney for the District of Connecticut,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/13/2014,,05/21/2014,1,
"Green, James Walter Frazer",United States Attorney for the Middle District of Louisiana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/13/2014,,05/21/2014,1,
"Martinez, Damon Paul",United States Attorney for the District of New Mexico,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01-06-14,1,05/21/2014,1,
"Costa, Gregg Jeffrey",United States Circuit Judge for the Fifth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/20/2014,1,
"Marquez, Rosemary",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/15/2014,1,
"Rayes, Douglas L.",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/15/2014,1,
"Soto, James Alan",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/15/2014,1,
"Humetewa, Diane J.",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/14/2014,1,
"Logan, Steven Paul",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/14/2014,1,
"Tuchi, John Joseph",United States District Judge for the District of Arizona,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05/14/2014,1,
"Rosenbaum, Robin S.",United States Circuit Judge for the Eleventh Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-12-14,1,
"Peterson, James D.",United States District Judge for the Western District of Wisconsin,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-08-14,1,
"Rosenstengel, Nancy J.",United States District Judge for the Southern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-08-14,1,
"Talwani, Indira",United States District Judge for the District of Massachusetts,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-08-14,1,
"Moritz, Nancy L.",United States Circuit Judge for the Tenth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-05-14,1,
"Chuang, Theodore David",United States District Judge for the District of Maryland,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-01-14,1,
"Hazel, George Jarrod",United States District Judge for the District of Maryland,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,05-01-14,1,
"Bashant, Cynthia Ann",United States District Judge for the Southern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Bastian, Stanley Allen",United States District Judge for the Eastern District of Washington,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Crabtree, Daniel D.",United States District Judge for the District of Kansas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Levy, Jon David",United States District Judge for the District of Maine,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Lipman, Sheryl H.",United States District Judge for the Western District of Tennessee,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Shah, Manish S.",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/30/2014,1,
"Friedland, Michelle T.",United States Circuit Judge for the Ninth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,04/28/2014,1,
"Owens, John B.",United States Circuit Judge for the Ninth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03/31/2014,1,
"Cooper, Christopher Reid",United States District Judge for the District of Columbia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03/26/2014,1,
"Harpool, M. Douglas",United States District Judge for the Western District of Missouri,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03/26/2014,1,
"McHugh, Jr., Gerald Austin",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03/26/2014,1,
"Smith, Edward G.",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03/26/2014,1,
"Leitman, Matthew Frederick",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-12-14,1,
"Levy, Judith Ellen",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-12-14,1,
"McHugh, Carolyn B.",United States Circuit Judge for the Tenth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-12-14,1,
"Michelson, Laurie J.",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-12-14,1,
"Parker, Linda Vivienne",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-12-14,1,
"Brooks, Timothy L.",United States District Judge for the Western District of Arkansas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-05-14,1,
"Chhabria, Vince Girdhari",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-05-14,1,
"Hernandez, Pedro A. Delgado",United States District Judge for the District of Puerto Rico,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-05-14,1,
"Reeves, Pamela L.",United States District Judge for the Eastern District of Tennessee,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,03-05-14,1,
"Donato, James",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,02/25/2014,1,
"Freeman, Beth Labson",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,02/25/2014,1,
"Moody, Jr., James Maxwell",United States District Judge for the Eastern District of Arkansas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,02/25/2014,1,
"Meyer, Jeffrey Alker",United States District Judge for the District of Connecticut,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,02/24/2014,1,
"Blankinship, Gary",United States Marshal for the Southern District of Texas,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01-06-14,1,02-12-14,1,
"Hobbs, Robert L.",United States Marshal for the Eastern District of Texas,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01-06-14,1,02-12-14,1,
"Luger, Andrew Mark",United States Attorney for the District of Minnesota,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01-06-14,1,02-12-14,1,
"Rojas, Jr., Amos",United States Marshal for the Southern District of Florida,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01-06-14,1,02-12-14,1,
"Techau, Kevin W.",United States Attorney for the Northern District of Iowa,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01-06-14,1,02-12-14,1,
"Tobin, Peter C.",United States Marshal for the Southern District of Ohio,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01-06-14,1,02-12-14,1,
"Wilkins, Robert Leon",United States Circuit Judge for the District of Columbia Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06-04-13,,01/13/2014,1,
"Davis, Brian J.",United States District Judge for the Middle District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,12/20/2013,1,
"Pillard, Cornelia T. L.",United States Circuit Judge for the District of Columbia Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06-04-13,,12-12-13,1,
"McCafferty, Landya B.",United States District Judge for the District of New Hampshire,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/23/2013,,12-12-13,1,
"Morris, Brian",United States District Judge for the District of Montana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/23/2013,,12-12-13,1,
"Watters, Susan P.",United States District Judge for the District of Montana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/23/2013,,12-12-13,1,
"Wolford, Elizabeth A.",United States District Judge for the Western District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/16/2013,,12-12-13,1,
"Millett, Patricia Ann",United States Circuit Judge for the District of Columbia Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06-04-13,,12-10-13,1,
"Brown, Debra M.",United States District Judge for the Northern District of Mississippi,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/16/2013,,11-04-13,1,
"Woods, Gregory Howard",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-09-13,,11-04-13,1,
"Fardon, Zachary Thomas",United States Attorney for the Northern District of Illinois,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),05/23/2013,,10/16/2013,1,
"Haikala, Madeline Hughes",United States District Judge for the Northern District of Alabama,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-09-13,,10/14/2013,1,
"Wood, Andrea R.",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-06-13,,10/14/2013,1,
"Bruce, Colin Stirling",United States District Judge for the Central District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-06-13,,10-07-13,1,
"Ellis, Sara Lee",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-06-13,,10-07-13,1,
"Hughes, Todd M.",United States Circuit Judge for the Federal Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-07-13,,09/24/2013,1,
"Polite, Jr., Kenneth Allen",United States Attorney for the Eastern District of Louisiana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06/27/2013,,09/17/2013,1,
"Campbell-Smith, Patricia E.",Judge of the United States Court of Federal Claims (Designated Chief Judge 10/21/2013),Federal Judiciary,Federal Judges (http://www.uscourts.gov),03/19/2013,,09/17/2013,1,
"Kaplan, Elaine D.",Judge of the United States Court of Federal Claims,Federal Judiciary,Federal Judges (http://www.uscourts.gov),03/19/2013,,09/17/2013,1,
"Broderick, Vernon S.",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04/15/2013,,09-09-13,1,
"Caproni, Valerie E.",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,09-09-13,1,
"Chen, Raymond T.",United States Circuit Judge for the Federal Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-07-13,,08-01-13,1,
"Dorsey, Jennifer A.",United States District Judge for the District of Nevada,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,07-09-13,1,
"Phillips, Gregory Alan",United States Circuit Judge for the Tenth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/31/2013,,07-08-13,1,
"Gonzales, Kenneth John",United States District Judge for the District of New Mexico,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,06/17/2013,1,
"Restrepo, Luis Felipe",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,06/17/2013,1,
"Alejandro, Nitza I. Quinones",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,06/13/2013,1,
"Schmehl, Jeffrey L.",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,06/13/2013,1,
"Barkow, Rachel Elise",Member,United States Sentencing Commission,USSC (http://www.ussc.gov),04/15/2013,,06-06-13,1,
"Breyer, Charles R.",Member (Designated Vice Chairman 6/13/13),United States Sentencing Commission,USSC (http://www.ussc.gov),04/15/2013,,06-06-13,1,
"Pryor, Jr., William H.",Member,United States Sentencing Commission,USSC (http://www.ussc.gov),04/15/2013,,06-06-13,1,
"O'Keefe, Michael Kenny",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/19/2013,,05/23/2013,1,
"Okun, Robert D.",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/19/2013,,05/23/2013,1,
"Barnett, Mark A.",Judge of the United States Court of International Trade,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/23/2013,1,
"Kelly, Claire R.",Judge of the United States Court of International Trade,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/23/2013,1,
"Srinivasan, Srikanth",United States Circuit Judge for the District of Columbia Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/23/2013,1,
"Chappell, Sheri Polster",United States District Judge for the Middle District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/20/2013,1,
"McShane, Michael J.",United States District Judge for the District of Oregon,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/20/2013,1,
"Orrick III, William H.",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05/15/2013,1,
"Dick, Shelly Deckert",United States District Judge for the Middle District of Louisiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05-09-13,1,
"Roman, Nelson Stephen",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,05-09-13,1,
"Kelly, Jane",United States Circuit Judge for the Eighth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/31/2013,,04/24/2013,1,
"Torres, Analisa",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,04/18/2013,1,
"Watson, Derrick Kahala",United States District Judge for the District of Hawaii,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,04/18/2013,1,
"O'Connell, Beverly Reid",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,04/15/2013,1,
"Shwartz, Patty",United States Circuit Judge for the Third Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,04-09-13,1,
"Moore, Raymond P.",United States District Judge for the District of Colorado,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03/23/2013,1,
"Nunley, Troy L.",United States District Judge for the Eastern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03/23/2013,1,
"Jackson, Ketanji Brown",United States District Judge for the District of Columbia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03/23/2013,1,
"Gordon, Andrew Patrick",United States District Judge for the District of Nevada,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03-11-13,1,
"Taranto, Richard Gary",United States Circuit Judge for the Federal Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03-11-13,1,
"Chen, Pamela Ki Mai",United States District Judge for the Eastern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03-04-13,1,
"Failla, Katherine Polk",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,03-04-13,1,
"Bacharach, Robert E.",United States Circuit Judge for the Tenth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,02/25/2013,1,
"Kayatta, Jr., William J.",United States Circuit Judge for the First Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-04-13,,02/13/2013,1,
"Dickinson, Angela Tammy",United States Attorney for the Western District of Missouri,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07-12-12,,01-01-13,1,
"Wilkerson, Patrick J.",United States Marshal for the Eastern District of Oklahoma,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),03/29/2012,,01-01-13,1,
"Kelton, Louise W.",United States Marshal for the Middle District of Tennessee,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-02-12,,01-01-13,1,
"Tigar, Jon S.",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06-11-12,,12/21/2012,1,
"Brann, Matthew W.",United States District Judge for the Middle District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/17/2012,,12/21/2012,1,
"Mannion, Malachy Edward",United States District Judge for the Middle District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/17/2012,,12/21/2012,1,
"Durkin, Thomas M.",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/21/2012,,12/17/2012,1,
"Olguin, Fernando M.",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/14/2012,,12/17/2012,1,
"Geraci, Jr., Frank Paul",United States District Judge for the Western District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/14/2012,,12/13/2012,1,
"Schofield, Lorna G.",United States District Judge for the Southern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04/25/2012,,12/13/2012,1,
"Bernal, Jesus G.",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04/25/2012,,12-11-12,1,
"Dowdell, John E.",United States District Judge for the Northern District of Oklahoma,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/29/2012,,12-11-12,1,
"Berg, Terrence G.",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04/25/2012,,12-06-12,1,
"Walker, Mark E.",United States District Judge for the Northern District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/16/2012,,12-06-12,1,
"Shea, Michael P.",United States District Judge for the District of Connecticut,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-02-12,,12-05-12,1,
"Grimm, Paul William",United States District Judge for the District of Maryland,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/16/2012,,12-03-12,1,
"Shelby, Robert J.",United States District Judge for the District of Utah,Federal Judiciary,Federal Judges (http://www.uscourts.gov),11/30/2011,,09/22/2012,1,
"Curiel, Gonzalo P.",United States District Judge for the Southern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),11-10-11,,09/22/2012,1,
"Rose, Stephanie Marie",United States District Judge for the Southern District of Iowa,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-02-12,,09-10-12,1,
"Knowles, Kimberley Sherri",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),06-11-12,,08-02-12,1,
"Williams, Sr., Danny Chappelle",United States Attorney for the Northern District of Oklahoma,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/29/2012,,08-02-12,1,
"Drain, Gershwin A.",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),11/17/2011,,08-02-12,1,
"Shipp, Michael A.",United States District Judge for the District of New Jersey,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/23/2012,,07/23/2012,1,
"McNulty, Kevin",United States District Judge for the District of New Jersey,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12/16/2011,,07/16/2012,1,
